------ TOKENS ------
    +-SET
      +-VARIABLE (var1)
      +-NUMBER (0)
  +-SEQ
    +-DCLRT
      +-SET
        +-VARIABLE (var2)
        +-NUMBER (10)
    +-SEQ
      +-DCLRT
        +-SET
          +-VARIABLE (var3)
          +-NUMBER (98)
      +-SEQ
        +-DCLRT
          +-SET
            +-VARIABLE (i)
            +-NUMBER (0)
        +-SEQ
          +-SET
            +-VARIABLE (var1)
            +-SUB
              +-ADD
                +-DIV
                  +-MUL
                    +-SUB
                      +-NUMBER (25)
                      +-NUMBER (5)
                    +-NUMBER (5)
                  +-NUMBER (2)
                +-NUMBER (50)
              +-VARIABLE (var3)
          +-SEQ
            +-PRINTLN
              +-VARIABLE (var1)
            +-SEQ
              +-FOR
                +-VARIABLE (i)
                +-NUMBER (1)
                +-NUMBER (5)
                +-SEQ
                  +-SET
                    +-VARIABLE (var1)
                    +-MUL
                      +-VARIABLE (var1)
                      +-NUMBER (2)
                  +-SEQ
                    +-PRINTLN
                      +-VARIABLE (var1)
              +-SEQ
                +-IF
                  +-EQUALITY
                    +-VARIABLE (var1)
                    +-NUMBER (32)
                  +-SEQ
                    +-FOR
                      +-VARIABLE (i)
                      +-NUMBER (0)
                      +-NUMBER (3)
                      +-SEQ
                        +-SET
                          +-VARIABLE (var1)
                          +-DIV
                            +-VARIABLE (var1)
                            +-NUMBER (2)
                        +-SEQ
                          +-PRINTLN
                            +-VARIABLE (var1)
                +-SEQ
                  +-IF
                    +-LESS
                      +-VARIABLE (var2)
                      +-MUL
                        +-VARIABLE (var1)
                        +-NUMBER (2)
                    +-SEQ
                      +-PRINTLN
                        +-VARIABLE (var2)
                    +-ELSE
                      +-SEQ
                        +-DCLRT
                          +-SET
                            +-VARIABLE (temp)
                            +-VARIABLE (var2)
                        +-SEQ
                          +-SET
                            +-VARIABLE (var2)
                            +-VARIABLE (var1)
                          +-SEQ
                            +-SET
                              +-VARIABLE (var1)
                              +-VARIABLE (temp)
                            +-SEQ
                              +-PRINTLN
                                +-VARIABLE (var1)
                              +-SEQ
                                +-PRINTLN
                                  +-VARIABLE (var2)

------ VARIABLES ------
INTEGER var1
INTEGER var2
INTEGER var3
INTEGER i
INTEGER temp
